Details,Benefits,Eligibility,Exclusions,Application Process,Documents Required,title,url
"The scheme ""Support for Value Addition - Support to R&G units"" is a Sub-Component of the Scheme ""Integrated Coffee Development Project"" by the Coffee Board, Department of Commerce, Ministry of Commerce and Industry. This scheme aims to enhance the quality of coffee products and achieve value addition through the introduction of improved technologies in roasting, grinding, and packaging which will result in boosting domestic coffee consumption and entrepreneurship in the coffee sector, especially in the non-traditional areas.","Roasting Units, Gourmet roasting units 1Kg to <10Kg/batch, and small roasting units with a capacity of less than 25 kg capacity are eligible for subsidy support of 40% of the machinery cost with a ceiling of ₹10,00,000.For the SHGs, women entrepreneurs, SC/ ST, Minorities, and differently-abled beneficiaries, subsidy support is @50% of the machinery cost with a ceiling of ₹10,00,000.Support for gourmet roaster units would enable the roasting of specialized blends in smaller quantities. This may also help to encourage a large number of small players/ new entrepreneurs to take up this venture in non-traditional coffee-drinking areas.﻿Disbursement of subsidyThe subsidy shall be released to the applicant’s bank account through PFMS in cases where the application is complete in all respects and only after approval of the post-installation inspection report submitted by the Coffee Quality Division, Coffee Board, Bengaluru.","The applicants should be individual units, Partnership firms, self-help groups (SHG)/ Growers’ collectives interested in establishing coffee roasting units.The Scheme is applicable only for the establishment of new R&G units.The applicant’s unit must hold a valid business license from the respective statutory authorities.﻿Components Eligible for SubsidyFor New R&G Units: The roasting, grinding, and packaging machinery in any of the following combinations are eligible for subsidy - a) Roasting machine, grinding machine, and packaging machine. b) Roasting machine and packaging machine. c) Grinding machine and Packaging machineThe Subsidy scheme is not applicable for similar machinery or for more than one (Roasting, Grinding and Packaging) machinery of each type/ kind.﻿PriorityApplications are considered on a first-come, first-served basis, provided they are complete and subject to fund availability.","The applicants who have availed subsidy in the XI, XII, and MTF plan periods are not eligible.The Scheme does NOT apply to R&G units/establishments installed and commissioned before the scheme notification (No. Res/CQD/R&G/2022-23/04) date of 07-04-2022.The scheme is not applicable for the up-gradation of existing facilities.","Step 1: The interested applicant should take print of the prescribed format of the application form.Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).Step 3: Submit the duly filled and signed application form along with the documents at the following address:The Divisional Head - Coffee Quality Division, Coffee Board, No.1, Dr Ambedkar Veedhi, Via., email: hdqc.coffeeboard@nic.in / hdqccoffeeboard@gmail.com.﻿Post-Application ProcessesStep 1: Scrutiny and Feasibility AssessmentThe applicant's provided information undergoes scrutiny, and physical inspection occurs based on necessity. Coffee Board officers conduct feasibility assessments on a case-by-case basis.Step 2: Procurement, Installation, and CommissioningCoffee machinery procurement, installation, and commissioning are permitted upon receipt of the Feasibility Report from the Coffee Board. This responsibility lies with the applicants.Step 3: Submission of Support Claim ApplicationUpon successful installation and commissioning of R&G machinery, the applicant submits the support claim application for the establishment of the R&G unit. A physical site inspection is conducted. If the application is deemed unfit for approval, the reasons are communicated to the applicant.","Copy of the blueprint/layout plan for the proposed Research and Grant unit/facility.Copy of the Photo identity like Aadhaar or Ration card or Permanent Account Number (PAN) card or Passport or Driving License or Election Photo Identity Card, etc.Original copy of Tax Invoice / Cash Bill issued by the supplier.Attested copies of Bills in support of freight/installation/commissioning charges and insurance (if included in the total cost).Copy of warranty certificate.Notarized Copy of the lease agreement/rent agreement/ownership document in respect of the shop/building premises.Copy of license from municipal authorities.Copy of the Bank passbook of the applicant containing the information such as: Name of the Bank and Branch address, Account Holder Name, Account No, Indian Financial System Code (IFSC) code.Photographs of the new machinery installed for which subsidy is claimed.In the case of Scheduled Caste (SC) /Scheduled Tribe (ST) and differently-abled category beneficiaries applying individually, caste/community/disability certificate (with a disability of 40% and above) issued by the competent authority.",Support for Value Addition - Support to R&G units,https://www.myscheme.gov.in/schemes/icdpsva-srgu
"Atma Nirbhar Bagwani Yojana is an umbrella scheme wherein all the schemes are subsumed under a bank linked credit subsidy scheme which will have a time bound implementation and participation from various stakeholders – Government, Bank, Project Consultants and Progressive Farmers. The beneficiaries under the scheme will be eligible for 45% subsidy from Government of Arunachal Pradesh, 45% bank finance and 10% beneficiaries contribution. The beneficiary will have to provide a collateral security in the shape of land/property or acceptable guarantee for loan amount exceeding 1.6 Lakhs in case of individual and 10 lakhs for SHGs/FPOs. Under this scheme, the following components are included for availing of bank loan:     Arecanut    Pineapple    Avocado    Dragon Fruit    Orange    Banana    Guava    Tractor    Power Tiller    Brush Cutter","Atmanirbhar Bagwani Yojna is basically meant for the cultivation of fruits like apples, walnut, orange, kiwi, and persimmon. ﻿    The line of credit will be provided by the State Bank Of India, Arunachal Pradesh Rural Bank, and Arunachal Pradesh Cooperative Apex Bank.     45 percent will be given by the government subsidy, 45 percent as bank loan and 10 percent will be contributed by the farmer.    There is no collateral for loans up to Rs 1.60 lakh.    For SHGs, no collateral is needed up to Rs 10 lakhs.",The scheme is focused on the residents and farmers of Arunachal Pradesh.,,"The Chief Minister revealed that he has offered to host the proposed regional level oil palm business summit at Namsai anytime soon. Besides attracting investors, he said the summit will also educate farmers of the state. MoUs were signed between the state government and the banks viz., State Bank of India, State Cooperative Apex Bank and State Rural Bank to mark the occasion.﻿Application Form: https://cdn.s3waas.gov.in/s3819f46e52c25763a55cc642422644317/uploads/2022/05/2022052453.pdf",The people under Atma nirbhar Bagwani Yojana will be able to take the benefit of the loan that is collateral-free. The Chief Minister said that no land document such as Land Possession Certificate will be taken to provide the loan. Only Aadhaar Card.Voter Card.Residential Certificate.A valid Bank Account,Atma Nirbhar Bagwani Yojana,https://www.myscheme.gov.in/schemes/anby
"“Natural Calamity Relief to Fishermen of State” is a scheme by the Department of Fisheries, Government of Goa. Through this scheme, financial assistance is provided to the active fishermen who contribute to the Fishermen Corpus Relief Fund, whose fishing vessels are damaged or lost due to natural calamities. The applications are accepted only in offline mode.","Death/DisabilityLoss of Life/Total Disability While Fishing in Sea/River: ₹5,00,000 in Case of Loss of Life/Total Disability on Production of the Required Documents.﻿Loss/Damage to Fishing CanoePartial Damage of Fishing Canoe: Actual Value, as Assessed by an Authorized Marine Surveyor, is Limited to ₹1,00,000.Total Loss/Damage of Canoe With OBM: Actual Value, as Assessed by an Authorized Marine Surveyor, is Limited to ₹2,00,000.﻿Loss/Damage to Fishing Vessel1 to 4-cylinder Fishing Vessel: Actual Value, as Assessed by an Authorized Marine Surveyor, is Limited to ₹7,00,000.6 to 8-cylinder Fishing Vessel: Actual Value, as Assessed by an Authorized Marine Surveyor, is Limited to ₹10,00,000.﻿Loss/Damage to Fishing NetsGill Nets: Actual Value, as Assessed by Authorized Fisheries Surveyor or Marine Surveyor or Talathi, is Limited to ₹50,000/-Rampon Nets: Actual Value, as Assessed by Authorized Fisheries Surveyor or Marine Surveyor or Talathi, is Limited to ₹1,00,000/-Trawl Net: Actual Value, as Assessed by Authorized Fisheries Surveyor or Marine Surveyor or Talathi, is Limited to ₹50,000/-Purseine Net: Actual Value, as Assessed by Authorized Fisheries Surveyor or Marine Surveyor or Talathi, is Limited to ₹5,00,000/-","The applicant should be a Fisherman. The applicant should have been contributing to the Fishermen Corpus Relief Fund.The applicant's non-motorized/motorized canoe and mechanized fishing vessel/trawler should be registered with the Department of Fisheries.The applicant's fishing vessels, including engines, motors, and fishing vessels, should have been damaged or lost due to natural calamities like floods, cyclones, tsunamis, and accidental fire.The applicant should not be a defaulter of the department.The applicant's loss or damage should be verified by the competent authority.",,"Step 1: The interested applicant should take print of the prescribed format of the application form.Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority at the Department of Fisheries, Dayanand Bandodkar Marg, Patto Colony, Panaji Goa - 403 521, or to the official posted at BDO Office/ Sub-Offices of the Department of Fisheries.NOTE: The claim should be submitted within one week of the incident.﻿Grievance RedressalAny dissatisfaction or complaint about any service or its standards can be registered with the Department's Grievance Redressal Officer. The grievance can also be lodged on the link dir-fish.goa@nic.in. All complaints will be acknowledged by us and final action taken will be communicated within 30 days.",1) Photograph of the Applicant 2) Copy of the Vessel Registration Certificate3) Copy of the Updated Fishing License Certificate4) Copy of the Updated Fishing Net Licence 5) Copy of Updated Fishing Netbook.6) Copy of Biometric Card/temporary ID Card7) Inspection Report of Registered Fishing Vessel/ OBM/ Net in Original.8) Copy of the Bank Passbook Along With the Mandate Form9) Statement of Contribution for Fishermen Corpus Fund by Applicant10) Post-mortem Report/ Missing Report/ Death Certificate11) Panchanama Report12) FIR Report13) Copy of the Medical Certificate14) Copy of Loss Assessment Report From Authorized Marine Surveyor15) Copy of the Weather Report From the Meteorological Department on the Day of Incident Occurred.NOTE: The missing report/death certificate/post-mortem report or police report should state that the body of the victim is not traced/found after one year from the date of the incident.,Natural Calamity Relief to Fishermen of State,https://www.myscheme.gov.in/schemes/ncrfs
"“Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen” is a scheme by the Department of Fisheries, Government of Goa. Through this scheme, financial assistance amounting to ₹50% is provided by the Government to eligible fishermen for the Purchase of Lifejackets and Lifebuoys. The applications are accepted only in offline mode.","The support is extended up to ₹1,000/- per lifejacket and ₹1,500/- per lifebuoy.For Canoe Fitted With OBM: 05 Life Jackets and 01 Lifebuoy.For Mechanised Trawlers Engaged in Trawling Operations: 08 Life Jackets and 02 Lifebuoys.For Mechanised Trawlers Engaged in Purse Seining Operation: 25 Life Jackets and 04 Lifebuoys.",The applicant should be a traditional fisherman by birth or profession.The applicant should be a resident of Goa.The applicant should possess one of the following: a Canoe Fitted With OBM; Mechanised Trawlers Engaged in Trawling or Purse Seining Operations.,,"Step 1: The interested applicant should take print of the prescribed format of the application form.Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority at the Department of Fisheries, Dayanand Bandodkar Marg, Patto Colony, Panaji Goa - 403 521, or to the official posted at BDO Office/ Sub-Offices of the Department of Fisheries.﻿Grievance RedressalAny dissatisfaction or complaint about any service or its standards can be registered with the Department's Grievance Redressal Officer. The grievance can also be lodged on the link dir-fish.goa@nic.in. All complaints will be acknowledged by us and final action taken will be communicated within 30 days.",Updated Fishing License Certificate/Fishing Net License ReceiptsVessel Registration CertificateAadhaar CardMandate Form,Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen,https://www.myscheme.gov.in/schemes/fapllf
"The scheme ""Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Support for Eco-Certification / Organic Certification"" is a Sub-Component of the Scheme ""Integrated Coffee Development Project During the Medium Term Framework (MTF) Period: Development Support to Stakeholders"" by the Coffee Board, Department of Commerce, Ministry of Commerce and Industry. This scheme aims to encourage coffee growers to improve quality for higher returns and improve access to high-value specialty markets through the production of eco-certified coffees. An allied objective of this scheme is to encourage small growers to form groups/collectives for taking up eco-certification that will facilitate the creation of common facilities in the future.","Scale of SubsidyFor Organic Certification: 75% of the certification cost spread over 3 years or the Conversion period, whichever is less during the MTF period.For Other Eco-Certifications: 75% of the certification cost for one year during the MTF period.NOTE: This incentive is provided only as backend support for those who obtain certification of their estates. However, in the case of organic certification, the costs incurred towards certification during in-conversion period are also eligible for support.","The applicants should be SHGs/collectives of tribal growers who obtain certification of their plantations for various sustainability and quality standards.The applicant can access support only for certification of estates as per Organic, Fair Trade, Rainforest Alliance, UTZ Certified, Bird friendly/Shade grown coffee standards, or any other certification programs equivalent to the above programs.The applicant claiming support for Eco/organic certification should have been certified as per the National Programme for Organic Production (NPOP) standards, even if they are certified as per various international standards like EU Regulation, NOP (National Organic Programme of USA), JAS (Japanese Agriculture Standards), etc.The applicant should obtain the Certificate only from the Certification Agencies accredited by the respective Certification Programmes during the MTF period.",,"Procedure for Claiming SubsidyStep 1: Certification Completion and DocumentationAfter obtaining certification by the accredited certification body/agency, the SHG/growers' group of tribal growers shall submit the following documents to the concerned office of the JLO/SLO of the Coffee Board.Step 2: Submission to Coffee Board OfficeThe concerned JLO/SLO will scrutinize the documents, carry out field inspection for verification of books and records.Step 3: Review and VerificationThe JLO/SLO shall forward the claim along with the Physical Verification Report and other relevant records to the concerned Deputy Director (Extn)/Joint Director (Extn).Step 4: Approval and Subsidy DisbursementThe Deputy Director (Extn.)/Joint Director (Extn) after scrutinizing the claim and records and on confirmation about the admissibility of the claim in all respects will release the subsidy amount to the beneficiary.","Application in the prescribed format (in duplicate).Certificate of incorporation/registration, memorandum of article of association/society as Grower Collective/SHG/ Cooperative issued by the authority concerned and Complete list/details of members of the organization.Copy of the certificate issued by the Accredited Certification Agency.Original invoice towards the cost of certification.Copy of the Bank Pass Book containing the details of account number, name of the Bank, branch, IFSC code, etc.",Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Support for Eco-Certification / Organic Certification,https://www.myscheme.gov.in/schemes/cdpnerqucsecoc
"The scheme ""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" is a Sub-Component under the Umbrella Scheme ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" by the Department of Fisheries and Fishermen Welfare, Government of Puducherry. The scheme is introduced with the objective of increasing marine fish production by extending subsidies to the fishermen for the procurement of fiber-reinforced plastic vallam with nets.","50% subsidy subject to a maximum of ₹50,000 per unit in case of fibre-reinforced plastic catamaran and marine plywood canoe with nets, linked to own finance/loan component from National Co-operative Development Corporation/bank.50% subsidy subject to a maximum of ₹1,00,000 per unit in case of fibre-reinforced plastic vallam with nets, linked to own finance/loan component from National Co-operative Development Corporation/bank.50% subsidy subject to a maximum of ₹40,000 per unit in respect of wooden nava with net, linked to own finance/loan component from National Co-operative Development Corporation/bank.50% subsidy to a maximum of ₹5,000 per unit for the procurement of inland catamaran with nets (unit cost ₹10,000).*The rate of subsidy may be fixed by the Government from time to time.","The applicant should either belong to the fishermen community or be one of those professionally engaged in fishing/fish trade occupation on a full-time basis/prospective entrepreneurs.The applicant must have resided in the Union territory of Puducherry for a continuous period of not less than five years at the time of applying for extending subsidies/ grants. The applicant must have been enrolled as a member of the Fishermen Co-operative Society and be above the age of 23 years and below 60 years.The applicant must not have been a recipient of Old Age Pension, issued by the department. The applicant should not be employed in Government/ Government Undertakings/Fishermen Co-operative Society. The applicant must not have any dues to be paid to the Department/Fishermen Co-operative Societies at the time of making the application. In the case of male applicants, they should possess sea fishing experience in any mechanized or motorized/non-motorized traditional crafts for a minimum period of 5 years, issued by the owners. In the case of women applicants, they should possess five years of fish trade experience issued by the Village Panchayat concerned.The applicant should be ready to deposit 50% of the cost of craft and net with the Federation/Marketing Union/the Fishermen Co-operative Societies as per the norms/pattern of assistance modified from time to time.",,"Step 1: The interested applicant should visit the Office/ Sub-Office of the Department of Fisheries and Fishermen Welfare.Step 1: The interested applicant should request the hard copy of the prescribed format of the application form from the concerned authority.Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority.Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Passport Sized Photograph.Aadhaar Card.Election Photo Identity Card (for Proof of Identity).Ration Card (for Proof of Address).Birth Certificate (for Proof of Age).Membership Certificate from the President/Administrator of Fishermen/Fisherwoman Co-operative Society (in the case of fishermen).Document attesting full-time engagement in fishing or fish trade occupation (in the case of Fish Traders).Residence Certificate indicating a continuous period of not less than five years in the Union territory of Puducherry (from Deputy Tahsildar of the Area of Residence).Enrollment certificate as a member of the Fishermen Co-operative Society.Declaration of not being a recipient of Old Age Pension.Declaration of not being employed in Government/Government Undertakings/Fishermen Co-operative Society.Declaration certifying that the applicant has no outstanding dues to the Department/Fishermen Co-operative Societies at the time of application.Proof of Sea Fishing Experience (for male applicants).Proof of Fishing Trade Experience, issued by the Village Panchayat (for female applicants).Loan Sanction Orders/Acceptance for Loan Sanction from the Bank/National Co-operative Development Corporation.","""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",https://www.myscheme.gov.in/schemes/spfrpcvwnmpcn-faascdmf
"“Financial Assistance to Purchase/Construct New Fishing Craft less than 26 feet for Fishing in Inland Waters of Goa” is a scheme by the Department of Fisheries, Government of Goa. The scheme has been introduced to uplift the sizeable community of traditional Fishermen, by providing them financial help in the form of a subsidy on the construction/ purchase of Fishing Craft less than 26 feet for fishing in inland waters of Goa. The applications are accepted only in offline mode.","For General Category50% subsidy, limited to ₹30,000, on a unit cost of ₹60,000 (excluding GST).For SC/ST/Woman Category60% subsidy, limited to ₹36,000, on a unit cost of ₹60,000 (excluding GST).NOTE: The benefits can be availed after every 7 years against the replacement of the existing Canoe.","The applicant should be a traditional fisherman by birth or profession.The applicant should be a resident of Goa.The Fishing Canoe should be registered with the Department of Captain of Ports, Government of Goa.",,"Step 1: The interested applicant should request the prescribed format of the application form from the department by paying ₹50/-.Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority at the Department of Fisheries, Dayanand Bandodkar Marg, Patto Colony, Panaji Goa - 403 521, or to the official posted at BDO Office/ Sub-Offices of the Department of Fisheries.﻿Grievance RedressalAny dissatisfaction or complaint about any service or its standards can be registered with the Department's Grievance Redressal Officer. The grievance can also be lodged on the link dir-fish.goa@nic.in. All complaints will be acknowledged by us and final action taken will be communicated within 30 days.","1. Original Invoice towards Purchase/Construction of New Fibre Reinforced Plastic (FRP).2. Vessel Registration Certificate issued by Captain of Ports.3. River Gill Net Registration Certificate and License Certificate issued by the Department of Fisheries.4. Undertaking as per Proforma.5. Copy of Aadhaar (Unique Identification) Card.6. Other Backward Class (OBC) (Kharvi) Certificate or Profession Certificate issued by the Competent Authority, such as Mamlatdar or Chief Officer of the concerned Municipality, or Secretary of the concerned Village Panchayat, duly countersigned by the concerned Block Development Officer (B.D.O).7. Scheduled Tribe (ST)/Scheduled Caste (SC) Certificate (if applicable).8. Mandate Form along with Bank Pass Book.9. Bills from the Authorized Boat Dealer for the construction of the Fishing Canoe.",Financial Assistance to Purchase/Construct New Fishing Craft less than 26 feet for Fishing in Inland Waters of Goa,https://www.myscheme.gov.in/schemes/fapcnfclt26ffiw
"The scheme “Stipend Scheme for Poultry Farming Training for Weaker Section” was launched by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to raise the income of poultry farmers by scientific poultry farming training. Under this scheme, the beneficiary will be given a maximum ₹2000 (direct in bank account) stipend for six days of training and a poultry training certificate after completion of training.","The beneficiary will be given maximum ₹2000 (direct in bank account) stipend for six days training. (Considering ₹300/- per day, ₹1800/- for 6 days as daily allowance and ₹200/- as to & fro transport fare with the maximum total stipend ₹2000/-)Beneficiary will be given poultry training certificate after completion of training.",The benefits of this scheme will only be given to the adult of economically weaker sections people of the society of Gujarat State.The beneficiary will have to provide income proof along with the application.Females and beneficiaries Below Poverty Line will be given priority.,,"Step 01: The beneficiary has to apply online at I-Khedut Portal. https://ikhedut.gujarat.gov.in/iKhedutPublicScheme/Public/frm_Public_ANH2_SchemeApplicaiton.aspx﻿Step 02: Click on the ""Apply New"" button and submit a new application.Step 03: Click on the ""Update Application"" button to add corrections to the application.Step 04: Once the application is done, confirm it. The application must be confirmed within seven days from the date of saving the online application.Step 05: The application must be signed and submitted along with the supporting documents to the office address mentioned on the application” or “Application confirmed within seven days from the date of saving the online application Scanned copy of the application and other documents can be uploaded after confirming the applicationStep 06: Take a printout of the confirmed application.Note 01: It is mandatory to take a printout of the application (only applying online will not count as an application).Note 02: Take a printout of the online application and submit it along with necessary documents to the office/office address mentioned on the application or after applying online on the I-Khedut Portal, take a printout of the application and scan it with signature/thumbprint and ""Signed Application Print"" on the portal. A copy can be uploaded by clicking on Upload"" menu. ""Other Document Upload"" wherever applicable.Note 03: The application will be inwardly taken online by the concerned officer/office only if the correct and sufficient documents are uploaded along with the application signed/fingerprinted by the beneficiary.Note 04: If wrong/incomplete documents are uploaded online by the beneficiary, such application will not be inwarded online. In such circumstances, the beneficiary has to submit the remaining/correct documents to the concerned office within seven days of application.Note 05: Scanned copy uploaded in PDF format should not exceed 200 KB in size.","Identity proof i.e. Aadhaar Card, Voter ID CardIncome Proof CertificateBelow Poverty Line Card (If applicable)Residence proofCaste CertificateDisability Certificate from Competent Authority (only for PWDs) (if applicable)Barcoded Ration Card (if applicable)Savings Account Bank Passbook or Cancelled Check (if applicable)",Stipend Scheme For Poultry Farming Training For Weaker Section,https://www.myscheme.gov.in/schemes/sspftws
"The scheme ""Development Support for Coffee in Traditional Areas: Eco-certification of Coffee"" is a Sub-Component of the Scheme ""Integrated Coffee Development Project During the Medium Term Framework (MTF) Period: Development Support to Stakeholders"" by the Coffee Board, Department of Commerce, Ministry of Commerce and Industry. The objective of this scheme is to encourage coffee growers to access high-value specialty markets through production of eco-certified coffees so as to realize higher returns by adhering to a set of standards which help in communication of quality, traceability, social, environmental and financial conditions surrounding the production of coffee.","Extent of Support/ SubsidyCertification Support: 50% of the certification cost, subject to a maximum of ₹50,000 (Rupees 50,000) per individual grower/grower groups. In the case of Organic certification, spread over a period of 3 years or the conversion period, whichever is less; in the case of other certificates, one year, during the Mission for Integrated Development of Horticulture (MIDH) period.Additional Support for SC/ST Community: Individual coffee growers belonging to the Scheduled Caste/Scheduled Tribe (SC/ST) community with a coffee holding size of up to 4.00 hectares are eligible for an additional 10% of the certification cost, subject to a maximum of ₹55,000 (Rupees 55,000) per grower during the MIDH period.","Individual Growers: Individual growers owning up to 10 hectares of coffee holding and groups of small growers (SHGs, collectives) who obtain certification of their plantations for various sustainability and quality standards are eligible.Subsidy Limit: A grower who has availed subsidy under one activity/component is not eligible to avail subsidy for the same activity/component during the Mission for Integrated Development of Horticulture (MIDH) period unless new beneficiaries are covered.Certification Support: Support is available for certification of estates as per Organic, Fair Trade, Rainforest Alliance, UTZ Certified, Bird Friendly/Shade Grown coffee standards, or any other certification programs equivalent to the above programs.Organic Certification: Those claiming support for organic certification should have been certified as per the National Programme for Organic Production (NPOP) standards, even if they are certified as per various international standards like EU Regulation, NOP (National Organic Program of USA), JAS (Japanese Agriculture Standards), etc.Certification Agencies: The certificate should be obtained only from the Certification Agencies accredited by the respective Certification Programs.Non-Traditional Areas: Non-tribal coffee growers in Non-Traditional Areas with coffee holding sizes of up to 10 hectares are also eligible.",,"Procedure for Claiming SubsidyStep 1: Application Submission: After obtaining certification from an accredited certification body/agency, the grower/grower groups must submit their application along with a copy of the certificate and other relevant documents to the concerned jurisdictional Coffee Board office during the same financial year as the completion of the activity, as far as possible.Step 2: Document Scrutiny: The concerned office will scrutinize the documents and conduct field inspections to verify books and records.Step 3: Forwarding the Claim: The Joint Liaison Officer (JLO) / State Liaison Officer (SLO) shall forward the claim along with the Physical Verification Report and other relevant records to the concerned Deputy Director (Extn).Step 4: Subsidy Release: The Deputy Director (Extn.), after scrutinizing the claim and records and confirming the admissibility of the claim in all respects, will release the subsidy amount to the beneficiary's bank account through National Electronic Funds Transfer (NEFT).NOTE: This incentive provides backend support only to those who obtain certification for their estates.","For Claiming Subsidy﻿ApplicationApplication in the prescribed format (in duplicate).Proof of Identity and RegistrationProof of identity of the grower/registration certificate in the case of the growers' group.Certification DocumentsCopy of the certificate issued by the accredited Certification Agency.Land Ownership DocumentsAny of the following:Copy of Patta/Khatha Extract along with Record of Rights (RTC) for all Survey Numbers having coffee in possession of the applicant/applicants in respect of Karnataka.Copy of Land Possession Certificate issued from the competent Revenue authority (Atalji Kendra) / Central Record Center (CRC) along with RTCs for all Survey Numbers having multiple names in the RTCs of the applicant/applicants in respect of Kodagu District in Karnataka.Copy of Chitta & Adangal of the applicant/applicants in respect of Tamil Nadu.Copy of Land Possession Certificate of the applicant/applicants issued by the competent Revenue authority of Kerala. In case the applicant is a GPA holder, provide an attested copy of the registered GPA.Attested DocumentsAn attested copy of the Certificate issued by the accredited Certification Agency.Original invoice/bill towards the cost of certification/proof of payment of certification costs.Copy of the Bank Pass Book containing the details, such as the name of the account holder, account number, name of the bank, branch, IFSC code, etc., preferably Aadhaar seeded.In case the applicant is a GPA holder, provide an attested copy of the registered GPA.In case of SC/ST category grower applying individually, provide a caste/community certificate issued by the competent authority.",Development Support for Coffee in Traditional Areas: Eco-certification of Coffee,https://www.myscheme.gov.in/schemes/dsctaecc
"“Financial Assistance to Mussel Culture and Oyster Farming in Goa” is a scheme by the Department of Fisheries, Government of Goa. Through this scheme, financial assistance is provided to eligible fishermen for setting up units in estuarine waters, and in open sea. The applications are accepted only in offline mode.","Setting Up of Unit in Estuarine Waters50% subsidy limited to ₹ 25,000 per unit, maximum for 2 units. Each unit in the estuarine water will be of size 4 meters x 4 meters.Setting Up of Unit in Open Sea50% limited to ₹ 40,000 per unit, maximum for 2 units. Each unit in the Open sea will be of size 6 meters x 6 meters.","The applicant should be a Fish Farmer/ Individual/ Registered Self Help Groups/ Societies/ Associations, interested in setting up the Mussel Culture/ Oyster Farming Unit in Goa.The applicant should be a resident of Goa for the last fifteen years.The applicant should have undergone a training programme on Mussel Culture/ Oyster Farming organized by the Fisheries Department/ MPEDA/ ICAR/ any other institute.",,"Step 1: The interested applicant should take print of the prescribed format of the application form.Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority at the Department of Fisheries, Dayanand Bandodkar Marg, Patto Colony, Panaji Goa - 403 521, or to the official posted at BDO Office/ Sub-Offices of the Department of Fisheries.﻿Grievance RedressalAny dissatisfaction or complaint about any service or its standards can be registered with the Department's Grievance Redressal Officer. The grievance can also be lodged on the link dir-fish.goa@nic.in. All complaints will be acknowledged by us and final action taken will be communicated within 30 days.",1. Proof of Identity.2. Photographs (2 nos.).3. Documents for the Proof of Availability of Land (if applicable).   A. For Owners      (i) Copy of the Land Deed.      (ii) Form 1 & Form 14.   B. For Lessee      (i) NOC from the Land Owner.      (ii) Registered Lease Agreement.4. Proof of Availability of Finance.5. Detailed Project Report.6. Estuarine Unit in River/Open Sea: NOC from Concerned Authority.7. Certificate of Experience.8. Expenditure Details.9. Design/Layout of Unit.10. Mandate Form.,Financial Assistance to Mussel Culture and Oyster Farming in Goa,https://www.myscheme.gov.in/schemes/famcofg
